kind,a,b,c,d,e,f,g,h,i
btb_header,spacing,n,cycles_per_branch,mis_per_branch,l1i_refill_per_branch,stall_frontend_per_branch,itlb_walk_per_branch
corr,control,48,1.00117,0.50117,0.00049,51.203
corr,control,64,1.00079,0.50079,0.00063,67.233
corr,control,96,0.99957,0.49957,0.00079,146.444
corr,control,128,1.00101,0.50101,0.00110,195.974
corr,control,192,1.00194,0.50194,0.00168,291.926
corr,control,256,1.00200,0.50200,0.00226,388.909
corr,control,384,1.00192,0.50192,0.00383,580.853
corr,control,512,1.00233,0.50233,0.00537,771.869
corr,control,768,1.00618,0.50618,0.00998,1155.982
corr,control,1024,1.00458,0.50458,0.01399,1541.098
corr,control,1536,1.01050,0.51050,0.03676,2308.122
corr,control,2048,1.01796,0.51796,0.07632,3077.246
corr,control,2304,1.02243,0.52243,0.12224,3463.607
corr,control,2560,1.02870,0.52870,0.17244,3845.313
corr,control,2816,1.03851,0.53851,0.24350,4229.776
corr,control,3072,1.03833,0.53833,0.32358,4616.545
corr,control,4096,1.07297,0.57297,5.93073,6173.045
corr,control,6144,49.67101,49.17101,1537.79187,15433.346
nbr_header,spacing,n,mis_per_branch,cycles_per_branch,l1i_refill_per_branch
nbr,4,1,0.00000,3.5002,0.00000
nbr,4,2,0.00001,2.5002,0.00000
nbr,4,4,0.15626,3.1876,0.00000
nbr,4,8,0.11646,2.7906,0.00000
nbr,4,16,0.21768,3.5378,0.00000
nbr,4,32,0.27106,3.9893,0.00000
nbr,4,64,0.29506,4.1755,0.00001
nbr,4,128,0.30066,4.2031,0.00001
nbr,4,256,0.32094,4.3665,0.00002
nbr,4,512,0.32417,4.3892,0.00004
nbr,4,768,0.32375,4.3842,0.00005
nbr,4,1024,0.32131,4.3608,0.00006
nbr,4,1536,0.32352,4.3806,0.00009
nbr,4,2048,0.32522,4.3943,0.00013
nbr,4,3072,0.33700,4.5041,0.00020
nbr,4,4096,0.37433,4.8607,0.00027
nbr,4,6144,0.43870,5.4855,0.00048
nbr,4,8192,0.46574,5.7452,0.00069
nbr,4,12288,0.47584,5.8094,0.00126
nbr,4,16384,0.47670,5.8012,0.00274
nbr,16,1,0.00000,3.5001,0.00000
nbr,16,2,0.00000,2.6251,0.00000
nbr,16,4,0.00000,2.2501,0.00000
nbr,16,8,0.00000,2.1408,0.00000
nbr,16,16,0.00000,2.0705,0.00000
nbr,16,32,0.00001,2.0471,0.00001
nbr,16,64,0.00001,2.0061,0.00002
nbr,16,128,0.00012,1.8846,0.00003
nbr,16,256,0.00655,1.7781,0.00006
nbr,16,512,0.01395,1.8417,0.00012
nbr,16,768,0.01141,1.8048,0.00018
nbr,16,1024,0.04123,2.0946,0.00024
