op,threads,size_per_thread_bytes,total_bytes,n_valid,gbps_median,gbps_mad,gbps_ci95_lo,gbps_ci95_hi,gbps_per_thread,bytes_per_cycle,l1d_refill_per_kib,l2d_refill_per_kib,l3d_refill_per_kib,bus_access_per_kib
copy,4,262144,1048576,30,57.0603,3.4869,55.0100,59.2654,14.26507,,,,,
copy,4,393216,1572864,30,45.9014,1.9861,45.1026,47.9549,11.47535,,,,,
copy,4,524288,2097152,30,39.2739,1.9324,38.8623,41.2046,9.81848,,,,,
copy,4,1048576,4194304,30,13.8942,0.3896,13.6786,14.1377,3.47356,,,,,
copy,4,1572864,6291456,30,9.9112,0.0835,9.8631,9.9849,2.47779,,,,,
copy,4,2097152,8388608,30,8.7569,0.0738,8.7029,8.8187,2.18923,,,,,
copy,4,4194304,16777216,30,7.8247,0.0533,7.7909,7.8669,1.95617,,,,,
copy,4,8388608,33554432,30,7.3726,0.0738,7.3150,7.4082,1.84314,,,,,
copy,4,33554432,134217728,30,7.2041,0.0409,7.1617,7.2248,1.80102,,,,,
copy,4,134217728,536870912,30,7.2001,0.0418,7.1833,7.2316,1.80002,,,,,
copy,4,268435456,1073741824,30,7.2014,0.0369,7.1837,7.2239,1.80035,,,,,
