kind,a,b,c,d,e,f,g,h,i,j,k
stride_header,region,stride_lines,ns,cycles,ratio_vs_random,l1r,l2r,l3r,llmiss,bus,walk
cold,load,2,8,153.156,10.223,17.984,8.398,17.984
cold,load,2,12,205.438,12.758,24.555,13.812,24.555
cold,load,2,16,253.875,14.812,29.133,15.547,29.133
cold,load,2,24,319.062,14.961,38.672,14.789,38.672
cold,load,2,32,379.812,14.555,45.992,18.391,45.992
cold,load,2,48,512.688,15.164,62.391,26.391,62.391
cold,load,2,64,640.438,15.133,78.258,44.422,78.258
cold,load,2,96,895.688,15.039,110.062,74.336,110.062
cold,load,2,128,1154.969,15.449,142.141,104.094,142.141
cold,load,2,192,1667.812,15.555,206.961,162.648,206.961
cold,load,2,256,2182.844,15.934,270.633,224.047,270.633
cold,load,3,1,13.656,0.000,1.000,1.617,1.000
cold,load,3,2,27.375,0.715,2.703,2.305,2.703
cold,load,3,3,42.375,1.590,4.516,2.703,4.516
cold,load,3,4,78.500,5.105,8.938,5.328,8.938
cold,load,3,6,118.500,8.105,13.633,8.203,13.633
cold,load,3,8,148.844,9.898,17.469,10.328,17.469
cold,load,3,12,213.719,14.008,25.031,14.188,25.031
cold,load,3,16,257.906,15.531,29.023,16.922,29.023
cold,load,3,24,321.062,15.426,38.133,15.836,38.133
cold,load,3,32,386.656,15.625,45.859,19.195,45.859
cold,load,3,48,514.812,15.645,61.844,30.414,61.844
cold,load,3,64,642.156,15.562,77.594,45.609,77.594
cold,load,3,96,901.625,15.996,109.781,72.164,109.781
cold,load,3,128,1164.000,16.793,142.859,100.203,142.859
cold,load,3,192,1674.859,16.650,205.516,161.148,205.516
cold,load,3,256,2187.062,16.676,269.438,220.602,269.438
cold,load,4,1,15.688,0.000,1.266,1.891,1.266
cold,load,4,2,27.781,0.512,2.758,2.438,2.758
cold,load,4,3,41.469,1.223,4.484,2.656,4.484
cold,load,4,4,75.844,4.520,8.664,4.781,8.664
cold,load,4,6,113.125,7.180,13.227,8.258,13.227
cold,load,4,8,141.500,8.727,16.742,9.531,16.742
cold,load,4,12,204.125,12.555,24.422,14.219,24.422
cold,load,4,16,260.250,15.570,29.930,17.109,29.930
cold,load,4,24,328.500,16.102,38.930,17.188,38.930
cold,load,4,32,386.594,15.363,47.062,18.789,47.062
cold,load,4,48,514.938,15.406,62.953,28.719,62.953
cold,load,4,64,642.625,15.367,79.078,41.922,79.078
cold,load,4,96,898.688,15.375,111.352,70.164,111.352
cold,load,4,128,1158.906,15.902,143.312,99.336,143.312
cold,load,4,192,1673.250,16.195,208.352,159.133,208.352
cold,load,4,256,2187.469,16.473,272.727,210.211,272.727
cold,load,8,1,13.719,0.000,1.016,1.633,1.016
cold,load,8,2,27.969,0.781,2.734,2.430,2.734
cold,load,8,3,36.531,0.852,3.875,3.266,3.875
cold,load,8,4,45.344,0.953,4.922,3.484,4.922
cold,load,8,6,107.281,6.695,12.617,8.195,12.617
cold,load,8,8,130.719,7.625,15.383,8.383,15.383
cold,load,8,12,197.938,12.027,23.648,14.172,23.648
cold,load,8,16,249.938,14.527,29.773,15.836,29.773
cold,load,8,24,340.562,17.855,38.172,18.930,38.172
cold,load,8,32,387.156,15.680,47.609,21.047,47.609
